+ NEW DESIGN,,＋НОВЫЙ ДИЗАЙН
+ NEW SPEC,,+ NEW SPEC
<NO SUBJECT>,,<NO SUBJECT>
AMMO,,AMMO
AUTO-FORMAT CODE,,АВТОФОРМАТ КОДА
AVALON CITY,,AVALON CITY
Actual,,Actual
Airline cocktail mixer,,航空鸡尾酒调酒器
Animated eSports sign,,动画 eSports 标志
Aquaponics maintenance robot,,共生环境维护机器人
Aquatic harvesting robot,,水下收割机器人
Automatic pet feeder,,自动宠物喂食机
BEST:,,BEST：
BRIDGE,,BRIDGE
BROWSE THE WORKSHOP,,BROWSE THE WORKSHOP
Brain-computer interface,,脑机接口
"But after I graduated, the reality of the world caught up with me.",,我毕业后，现实世界无比残酷。
But it brought me here.,,但我被带到了这里。
"But no matter what the future holds, there’s one thing I know.",,无论未来如何，我对一件事情深信不疑。
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,上传本说明文档意味着你同意Steam Workshop（创意工坊）的条款。如您想要获得更多信息请访问：\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement
CANCEL,,CANCEL
CC:,,CC:
CHIP'S TIPS,,CHIP'S TIPS
CLOSE,,ЗАКРЫТЬ
COMPILATION FAILED,,COMPILATION FAILED
COMPILE ERROR:,,COMPILE ERROR:
CONNECTING TO LIVE CAMERA FEED...,,CONNECTING TO LIVE CAMERA FEED...
CONTINUE EDITING,,CONTINUE EDITING
CONTROL PANEL,,ПАНЕЛЬ УПРАВЛЕНИЯ
COPY,,COPY
CUSTOM SPECS,,自定义规格
Carbine target illuminator,,卡宾枪瞄准照明器
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,可以在桌上将牌叠起来，但纸牌必须按照数字降序放置，且不能为同一种花色。
Cellular scaffold printer,,细胞支架模型
Click and hold this button to indicate that you have completed the objective.,,点击并持续按下此按钮，以确认你已完成目标。
